"goal","dimension","region_id","score"
"ECO","status",2,100
"ECO","status",3,100
"ECO","status",4,100
"ECO","status",5,100
"ECO","status",6,100
"ECO","status",7,100
"ECO","status",8,100
"ECO","status",9,100
"ECO","status",10,100
"ECO","status",11,100
"ECO","trend",1,1
"ECO","trend",2,1
"ECO","trend",3,1
"ECO","trend",4,1
"ECO","trend",5,1
"ECO","trend",6,1
"ECO","trend",7,1
"ECO","trend",8,1
"ECO","trend",9,1
"ECO","trend",10,1
"ECO","trend",11,1
"FIS","future",0,14.63
"FIS","future",1,6.02
"FIS","future",2,0
"FIS","future",3,0
"FIS","future",4,4.81
"FIS","future",5,10.83
"FIS","future",6,7.22
"FIS","future",7,1.2
"FIS","future",8,0
"FIS","future",9,0
"FIS","future",10,25.42
"FIS","future",11,8.42
"FIS","pressures",1,14.27
"FIS","pressures",2,14.26
"FIS","pressures",3,14.26
"FIS","pressures",4,14.29
"FIS","pressures",5,14.26
"FIS","pressures",6,14.27
"FIS","pressures",7,14.26
"FIS","pressures",8,14.26
"FIS","pressures",9,14.26
"FIS","pressures",10,14.26
"FIS","pressures",11,14.26
"FIS","resilience",1,75.94
"FIS","resilience",2,75.94
"FIS","resilience",3,75.94
"FIS","resilience",4,75.94
"FIS","resilience",5,75.94
"FIS","resilience",6,75.94
"FIS","resilience",7,75.94
"FIS","resilience",8,75.94
"FIS","resilience",9,75.94
"FIS","resilience",10,75.94
"FIS","resilience",11,75.94
"FIS","score",0,13.37
"FIS","score",1,5.51
"FIS","score",2,0
"FIS","score",3,0
"FIS","score",4,4.41
"FIS","score",5,9.92
"FIS","score",6,6.61
"FIS","score",7,1.1
"FIS","score",8,0
"FIS","score",9,0
"FIS","score",10,23.21
"FIS","score",11,7.71
"FIS","status",0,12.11
"FIS","status",1,5
"FIS","status",2,0
"FIS","status",3,0
"FIS","status",4,4
"FIS","status",5,9
"FIS","status",6,6
"FIS","status",7,1
"FIS","status",8,0
"FIS","status",9,0
"FIS","status",10,21
"FIS","status",11,7
"FIS","trend",1,0
"FIS","trend",2,0
"FIS","trend",3,0
"FIS","trend",4,0
"FIS","trend",5,0
"FIS","trend",6,0
"FIS","trend",7,0
"FIS","trend",8,0
"FIS","trend",9,0
"FIS","trend",10,0.01
"FIS","trend",11,0
"FP","future",0,15.36
"FP","future",1,5.11
"FP","future",2,0.01
"FP","future",3,0.01
"FP","future",4,4.09
"FP","future",5,9.24
"FP","future",6,6.15
"FP","future",7,1.68
"FP","future",8,2.06
"FP","future",9,15.21
"FP","future",10,25.17
"FP","future",11,19.05
"FP","pressures",1,
"FP","pressures",2,
"FP","pressures",3,
"FP","pressures",4,
"FP","pressures",5,
"FP","pressures",6,
"FP","pressures",7,
"FP","pressures",8,
