"rgn_id","year","count"
8,2008,1975.60906046464
3,2008,1316236.68395944
5,2008,1195185.93611888
11,2008,4879.00706993631
1,2008,2664421.27474374
10,2008,35594.9148104044
10,2008,65445.3598496104
7,2008,13605.3691492914
2,2008,449236.536317536
6,2008,3624706.27564331
9,2008,69.9461555554192
4,2009,9345214.06081845
8,2009,1990.05196944476
3,2009,1325859.17810728
5,2009,1203923.47535937
11,2009,4914.67559182895
1,2009,2683899.82175282
10,2009,35855.1353798733
10,2009,65923.8054056644
7,2009,13704.8327082498
2,2009,452520.72980218
6,2009,3651205.09257346
9,2009,70.4575046772738
4,2010,9444428.56579647
8,2010,2011.1795776241
3,2010,1339935.30960843
5,2010,1216705.06290374
11,2010,4966.85279213678
1,2010,2712393.74286505
10,2010,36235.7954144624
10,2010,66623.6928215143
