"rgn_id","species_code","year","tonnes"
9,94,2004,0
4,94,2005,0
8,94,2005,0
3,94,2005,0
5,94,2005,0
11,94,2005,0
1,94,2005,0
10,94,2005,0
7,94,2005,0
2,94,2005,0
6,94,2005,0
9,94,2005,0
4,94,2006,0
8,94,2006,0
3,94,2006,0
5,94,2006,0
11,94,2006,0
1,94,2006,0
10,94,2006,0
7,94,2006,0
2,94,2006,0
6,94,2006,0
9,94,2006,0
4,94,2007,0
8,94,2007,0
3,94,2007,0
5,94,2007,0
11,94,2007,0
1,94,2007,0
10,94,2007,0
7,94,2007,0
2,94,2007,0
6,94,2007,0
9,94,2007,0
4,94,2008,0
8,94,2008,0
3,94,2008,0
5,94,2008,0
11,94,2008,0
1,94,2008,0
10,94,2008,0
7,94,2008,0
2,94,2008,0
6,94,2008,0
